case,num_errors,error_dict,fidelity,alpha,beta,alpha_rec,beta_rec
372,2,"{0: 'Z', 2: 'X'}",1.0,0.9613688420463055,(-0.07780901647148196-0.2640373202755368j),-0.9613688420463056j,(-0.2640373202755368+0.07780901647148185j)
373,2,"{0: 'X', 7: 'X'}",0.0,0.5783572385388153,(0.1125569117039682+0.8079813402903689j),0j,0j
374,2,"{1: 'Y', 2: 'Y'}",0.4373874516723057,0.4114895237092741,(0.565601811476225+0.7146824208921942j),(-0.4114895237092741+0j),(0.565601811476225+0.7146824208921944j)
375,3,"{6: 'Z', 7: 'Y', 5: 'Y'}",0.0,0.9999847419221368,(0.0005255013120104517+0.0054990700385122585j),0j,0j
376,2,"{7: 'Z', 4: 'X'}",0.0,0.9032800416559338,(-0.11189706380286857+0.4142031065290931j),0j,0j
377,1,{3: 'Y'},1.0,0.9454572057999209,(0.1932517818416369-0.2622297100178362j),(0.9454572057999209+0j),(0.1932517818416369-0.2622297100178362j)
378,2,"{6: 'Y', 1: 'Z'}",0.0,0.47529519399425285,(0.6472855998208505-0.5959159595366844j),0j,0j
379,2,"{5: 'Z', 8: 'X'}",0.0,0.47529326040917397,(0.32201775622365547+0.8187801177888356j),0j,0j
380,3,"{0: 'Y', 7: 'X', 1: 'Z'}",0.0,0.6709227299091901,(0.08954058347900158-0.7361013343293434j),0j,0j
381,1,{4: 'Y'},1.0000000000000004,0.6615897154650836,(0.38219703661254106+0.6451546121631788j),(0.6615897154650837+0j),(0.3821970366125411+0.6451546121631788j)
382,1,{6: 'X'},1.0000000000000004,0.17940412191953162,(-0.9567956120512455-0.228815029658815j),(0.17940412191953156+0j),(-0.9567956120512456-0.228815029658815j)
383,2,"{0: 'Y', 3: 'Y'}",0.0,0.45247970141688015,(-0.8499367746604931+0.269943695768968j),0j,0j
384,3,"{1: 'X', 2: 'Z', 0: 'Z'}",1.0,0.7685122712538137,(-0.6390067116997721-0.03254706338441518j),(0.7685122712538137+0j),(-0.6390067116997721-0.03254706338441518j)
385,2,"{6: 'X', 5: 'Z'}",0.0,0.16779202176214986,(-0.715497854325587-0.6781656566713263j),0j,0j
386,2,"{5: 'Y', 2: 'X'}",0.0,0.7332088551741742,(0.32282731327004793+0.5984875107310252j),0j,0j
387,1,{6: 'X'},1.0000000000000004,0.5461805858240992,(-0.7990819760552162-0.25130611455460977j),(0.5461805858240992+0j),(-0.7990819760552164-0.25130611455460977j)
388,1,{0: 'Z'},1.0,0.37152143720360203,(0.7179834282910353-0.5886183979435419j),(0.371521437203602+0j),(0.7179834282910352-0.5886183979435419j)
389,1,{8: 'X'},1.0,0.9851667992898383,(-0.11382075356395652-0.12841812035358738j),(0.9851667992898383+0j),(-0.11382075356395657-0.12841812035358738j)
390,1,{1: 'Y'},1.0,0.676246770635929,(-0.6024876232010908-0.42390915193467776j),(0.676246770635929+0j),(-0.6024876232010908-0.42390915193467776j)
391,3,"{5: 'Z', 8: 'Z', 2: 'Z'}",0.00686994634785021,0.9782318904400042,(-0.042364770714102114-0.20314427072530758j),(-0.04236477071410211-0.20314427072530758j),(0.9782318904400042+0j)
392,1,{5: 'Z'},1.0,0.13426922641181502,(-0.9870567357604085+0.08769706510927162j),(0.13426922641181507+0j),(-0.9870567357604086+0.08769706510927162j)
393,3,"{0: 'Z', 5: 'Z', 2: 'X'}",0.0,0.9986102900155648,(-0.051599311393109595-0.010723793115618822j),0j,0j
